iter	Passed	Remaining
405	5883	139024
406	5896	138987
407	5910	138953
408	5924	138934
409	5938	138902
410	5952	138871
411	5965	138839
412	5980	138822
413	5995	138821
414	6009	138801
415	6023	138765
416	6037	138745
417	6051	138726
418	6065	138704
419	6080	138687
420	6094	138668
421	6108	138646
422	6122	138615
423	6136	138585
424	6151	138581
425	6164	138550
426	6178	138518
427	6192	138490
428	6206	138473
429	6220	138449
430	6235	138439
431	6249	138419
432	6264	138409
433	6278	138387
434	6292	138356
435	6305	138323
436	6320	138323
437	6334	138286
438	6348	138258
439	6362	138231
440	6377	138226
441	6391	138210
442	6404	138176
443	6418	138144
444	6434	138161
445	6453	138238
446	6467	138219
447	6481	138200
448	6495	138180
449	6511	138186
450	6524	138145
451	6537	138105
452	6551	138081
453	6565	138052
454	6579	138027
455	6594	138015
456	6608	137998
457	6622	137966
458	6635	137931
459	6649	137904
460	6664	137900
461	6678	137870
462	6692	137845
463	6705	137816
464	6719	137795
465	6733	137766
466	6749	137782
467	6763	137759
468	6778	137760
469	6793	137741
470	6807	137719
471	6821	137710
472	6836	137702
473	6850	137676
474	6864	137644
475	6877	137615
476	6892	137599
477	6906	137588
478	6920	137559
479	6934	137530
480	6948	137516
481	6962	137482
482	6976	137459
483	6990	137433
484	7005	137435
485	7018	137404
486	7033	137389
487	7047	137368
488	7061	137350
489	7075	137323
490	7089	137296
491	7103	137270
492	7117	137254
493	7131	137226
494	7144	137197
495	7159	137180
496	7173	137163
497	7188	137152
498	7202	137127
499	7215	137103
500	7230	137096
501	7244	137075
502	7258	137050
503	7272	137027
504	7287	137011
505	7300	136980
506	7314	136955
507	7329	136944
508	7342	136919
509	7356	136888
510	7370	136873
511	7384	136848
512	7401	136870
513	7423	136996
514	7440	137034
515	7457	137076
516	7474	137092
517	7489	137097
518	7504	137081
519	7518	137066
520	7532	137049
521	7546	137022
522	7560	137004
523	7575	136989
524	7588	136962
525	7602	136940
526	7617	136931
527	7632	136916
528	7646	136897
529	7662	136910
530	7676	136894
531	7690	136875
532	7705	136864
533	7719	136846
534	7733	136818
535	7748	136808
536	7761	136780
537	7776	136761
538	7789	136729
539	7803	136709
540	7817	136688
541	7831	136655
542	7845	136633
543	7859	136613
544	7873	136590
545	7886	136561
546	7901	136542
547	7915	136525
548	7929	136512
549	7943	136488
550	7957	136459
551	7971	136446
552	7986	136429
553	8000	136409
554	8013	136379
555	8030	136396
556	8044	136378
557	8059	136372
558	8073	136355
559	8088	136351
560	8102	136326
561	8118	136335
562	8133	136332
563	8149	136348
564	8164	136336
565	8179	136336
566	8193	136320
567	8208	136306
568	8222	136279
569	8240	136323
570	8254	136303
571	8268	136283
572	8283	136278
573	8298	136270
574	8312	136247
575	8329	136277
576	8344	136269
577	8358	136247
578	8377	136310
579	8391	136291
580	8405	136272
581	8423	136302
582	8448	136473
583	8469	136553
584	8483	136535
585	8498	136531
586	8512	136508
587	8527	136503
588	8544	136521
589	8558	136495
590	8572	136480
591	8586	136463
592	8601	136444
593	8614	136417
594	8632	136458
595	8696	137215
596	8741	137676
597	8766	137827
598	8789	137942
599	8819	138166
600	8839	138233
601	8856	138268
602	8875	138308
603	8897	138405
604	8913	138414
605	8933	138485
606	8959	138644
607	8977	138677
608	8997	138751
609	9012	138730
610	9029	138745
611	9045	138754
612	9065	138817
613	9083	138849
614	9107	138985
615	9127	139046
616	9146	139100
617	9166	139152
618	9185	139211
619	9202	139224
620	9218	139231
621	9239	139298
622	9261	139404
623	9290	139589
624	9319	139789
625	9338	139842
626	9366	140018
627	9389	140118
628	9405	140124
629	9422	140136
630	9438	140139
631	9452	140114
632	9467	140091
633	9481	140063
634	9495	140036
635	9508	139999
636	9522	139967
637	9536	139938
638	9550	139910
639	9569	139951
640	9586	139966
641	9604	139999
642	9622	140024
643	9639	140048
644	9657	140064
645	9675	140098
646	9694	140136
647	9713	140181
648	9732	140228
649	9752	140279
650	9772	140347
651	9797	140465
652	9817	140527
653	9837	140577
654	9857	140632
655	9875	140671
656	9892	140672
657	9910	140709
658	9931	140776
659	9951	140830
660	9972	140891
661	9992	140951
662	10011	140995
663	10029	141014
664	10045	141010
665	10060	140995
666	10075	140988
667	10091	140973
668	10105	140950
669	10119	140923
670	10133	140887
671	10149	140879
672	10163	140857
673	10178	140833
674	10192	140801
675	10207	140794
676	10221	140755
677	10235	140724
678	10248	140690
679	10262	140658
680	10277	140636
681	10291	140609
682	10305	140579
683	10319	140546
684	10334	140530
685	10348	140500
686	10362	140477
687	10376	140449
688	10395	140481
689	10416	140549
690	10434	140565
691	10451	140576
692	10470	140612
693	10488	140638
694	10507	140683
695	10523	140675
696	10538	140654
697	10551	140620
698	10566	140596
699	10579	140561
700	10597	140582
701	10618	140643
702	10632	140618
703	10647	140590
704	10663	140593
705	10677	140567
706	10692	140539
707	10710	140565
708	10725	140546
709	10740	140528
710	10754	140500
